BBSD,XBOV,IVVB,BOVA,BRAX,SMAL,DIVO,FIND,GOVE,MATB,ISUS,PIBB,BLFT 0 03/01/23 Corp,BLTN 0 01/01/20 Corp,BLTN 10 01/01/23 Govt,BNTNF 10 01/01/27 Corp,BNTNB 6 08/15/24 Govt,BNTNB 6 08/15/26 Govt,BNTNB 6 05/15/35 Govt,BNTNB 6 05/15/45 Govt,BNTNB 6 08/15/50 Govt
0,0,0.001485577,0,0,0,0,0,0,0,0,0,0.998514423,0,0,0,0,0,0,0,0
0.000976446,0,0.007084209,0,0,0,0,0.00061031,0,0.001248274,0,0,0.957902978,0,0,0,0.032177783,0,0,0,0
0.002008711,0,0.010741843,0,0,0,0,0.001057348,0,0.001412157,0,0,0.900236598,0,0,0,0.084543344,0,0,0,0
0.005773653,0,0.016694718,0,0,0,0,0.002799044,0,0.000919836,0,0,0.885060288,0,0,0,0.08875246,0,0,0,0
0.016373472,0,0.010077686,0,0,0,0,0.006260521,0,0.001220509,0,0,0.867957197,0,0,0,0.098110616,0,0,0,0
0.019179245,0,0.024514327,0,0,0,0,0.007251801,0,0.001445492,0,0,0.885812679,0,0,0,0.061796456,0,0,0,0
0.016373472,0,0.032669226,0,0,0,0,0.006260521,0,0.001220509,0,0,0.798978294,0.034365619,0.010192218,0.005428518,0.094511623,0,0,0,0
0.010761925,0,0.044080214,0,0,0,0,0.004277961,0,0.000770542,0,0,0.744386101,0.067483285,0.020014315,0.010659905,0.097565752,0,0,0,0
0.027596565,0,0.035494184,0,0,0,0,0.010225642,0,0.002120442,0,0,0.773013296,0.043654308,0.012947074,0.006895793,0.088052694,0,0,0,0
0.027596565,0,0.044688195,0,0,0,0,0.010225642,0,0.002120442,0,0,0.738962886,0.053102889,0.015749351,0.008388325,0.099165705,0,0,0,0
0.021985018,0,0.055949962,0,0,0,0,0.008243082,0,0.001670475,0,0,0.657544949,0.11430264,0.033900085,0.018055661,0.088348128,0,0,0,0
0.024790792,0,0.062422576,0,0,0,0,0.009234362,0,0.001895459,0,0,0.633404179,0.125239621,0.037143794,0.019783306,0.086085911,0,0,0,0
0.030402339,0,0.059985303,0,0,0,0,0.011216922,0,0.002345425,0,0,0.60069675,0.134305367,0.03983253,0.021215364,0.1,0,0,0,0
0.033208112,0,0.065509923,0,0,0,0,0.012208203,0,0.002570408,0,0,0.565522415,0.151924395,0.045058013,0.02399853,0.1,0,0,0,0
0.036013885,0,0.071034544,0,0,0,0,0.013199483,0,0.002795392,0,0,0.53034808,0.169543424,0.050283497,0.026781696,0.1,0,0,0,0
0.039330532,0,0.076499778,0,0,0,0,0.014630337,0,0.002856171,0,0,0.5,0.183344687,0.054376701,0.028961793,0.1,0,0,0,0
